3,
7,4
11,4
17,6
23,6
29,6
37,8
47,10
59,12
71,12
89,18
107,18
131,24
163,32
197,34
239,42
293,54
353,60
431,78
521,90
631,110
761,130
919,158
1103,184
1327,224
1597,270
1931,334
2333,402
2801,468
3371,570
4049,678
4861,812
5839,978
7013,1174
8419,1406
10103,1684
12143,2040
14591,2448
17519,2928
21023,3504
25229,4206
30293,5064
36353,6060
43627,7274
52361,8734
62851,10490
75431,12580
90523,15092
108631,18108
130363,21732
156437,26074
187751,31314
225307,37556
270371,45064
324449,54078
389357,64908
467237,77880
560689,93452
672827,112138
807403,134576
968897,161494
1162687,193790
1395263,232576
1674319,279056
2009191,334872
2411033,401842
2893249,482216
3471899,578650
4166287,694388
4999559,833272
5999471,999912
7199369,1199898
